"","X","note_num","file_name","max_freq","min_freq","mean_freq","median_freq","sd_freq","abs_max_slope","duration"
"78",78,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.58.wav",7.640625,4.78125,6.65465716019417,6.984375,0.883494575990814,1.734375,0.240530303030303
"79",79,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.58.wav",3.890625,3.75,3.79118168016194,3.796875,0.0453600736486786,0.046875,0.284555938852814
"80",80,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.58.wav",5.015625,4.828125,4.921875,4.875,0.0782669165565677,0.09375,0.0569111877705628
"81",81,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_2.58.wav",3.375,3.234375,3.35235252808989,3.375,0.0373622732701269,0.046875,0.210464015151515
"82",82,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.11.wav",7.078125,4.78125,6.39442567567568,6.984375,0.946163136756814,2.203125,0.139603219090327
"83",83,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.11.wav",3.890625,3.796875,3.81730769230769,3.796875,0.0297001355579807,0.046875,0.270615470852018
"84",84,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.11.wav",4.96875,4.78125,4.86346153846154,4.828125,0.0712971914820013,0.046875,0.0902051569506727
"85",85,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.11.wav",3.421875,3.234375,3.36595812182741,3.375,0.0379797394635584,0.046875,0.230882246957079
"86",86,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.16.wav",7.125,4.734375,6.40962009803922,6.9375,0.929194883406688,2.015625,0.1834875
"87",87,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.16.wav",3.84375,3.75,3.77541415662651,3.75,0.0309057567337519,0.046875,0.286498026315789
"88",88,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.16.wav",4.921875,4.640625,4.79625,4.78125,0.0900613630095773,0.09375,0.0740388157894738
"89",89,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.16.wav",3.375,3.28125,3.35464285714286,3.375,0.0258690915650128,0.046875,0.207094078947369
"90",90,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.19.wav",7.828125,7.125,7.38,7.3125,0.220506793939482,0.1875,0.0740688031591737
"91",91,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.19.wav",7.03125,4.734375,6.24146792763158,6.9375,0.986755928965126,1.875,0.182488355609559
"92",92,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.19.wav",3.890625,3.75,3.80625,3.796875,0.0391944885499519,0.046875,0.271585611583637
"93",93,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.19.wav",4.96875,4.875,4.93399784482759,4.921875,0.0298541179990603,0.09375,0.0826564904819764
"94",94,5,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.19.wav",3.375,3.1875,3.34434121621622,3.375,0.0468570948470703,0.046875,0.21791256581612
"95",95,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.21.wav",7.359375,4.640625,6.50078125,6.984375,0.963770478236285,2.203125,0.212623798846893
"96",96,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.21.wav",3.796875,3.75,3.76383535242291,3.75,0.0214275010592733,0.046875,0.263095104633782
"97",97,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.21.wav",4.96875,4.78125,4.86486486486486,4.875,0.069995060455547,0.046875,0.060136023916293
