"","note_num","file_name","max_freq","min_freq","mean_freq","median_freq","sd_freq","abs_max_slope","duration"
"27",5,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.52.wav",3.28125,3.09375,3.22849110878661,3.234375,0.0592486491701905,0.09375,0.27618728668942
"28",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.54.wav",6.9375,4.59375,6.08860085227273,6.234375,0.637534953430597,1.265625,0.301944176036542
"29",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.54.wav",3.515625,3.46875,3.4765625,3.46875,0.0175087597258632,0.046875,0.257888264230499
"30",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.54.wav",6.375,4.5,5.74444110576923,6.28125,0.702833064628042,1.78125,0.132167735418131
"31",4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.54.wav",3.1875,3.140625,3.16953125,3.1875,0.0229828789559953,0.046875,0.0848882203092058
"32",5,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.54.wav",3.28125,3.1875,3.27682086614173,3.28125,0.0161010849986184,0.046875,0.155807492972593
"33",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.57.wav",6.984375,4.171875,6.12927827380952,6.328125,0.691267257791743,1.59375,0.289329565785852
"34",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.57.wav",3.515625,3.46875,3.47900390625,3.46875,0.0194214613281601,0.046875,0.259213477153867
"35",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.57.wav",6.421875,4.5,5.72434059633028,6.375,0.798933329478287,1.875,0.13659797343793
"36",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.59.wav",6.84375,4.6875,6.13329475308642,6.328125,0.625376402764817,1.03125,0.279786969940955
"37",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.59.wav",3.5625,3.46875,3.49741908482143,3.46875,0.0333988029804424,0.046875,0.259340999060655
"38",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_0.59.wav",6.421875,4.6875,5.72838785046729,6.28125,0.750462480429635,1.265625,0.134512966317767
"39",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav",6.796875,4.640625,6.1095,6.3046875,0.643868350917525,1.171875,0.287777326839827
"40",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav",3.5625,3.46875,3.50836559734513,3.515625,0.0371835142320033,0.046875,0.262006222943723
"41",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav",6.375,4.40625,5.64947455752212,6.1875,0.745700321972262,1.828125,0.141741071428571
"42",4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav",3.140625,3.046875,3.1195652173913,3.140625,0.0273044737558591,0.046875,0.0944940476190474
"43",5,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav",3.28125,3.1875,3.23954232283465,3.234375,0.0245127933701496,0.046875,0.156774215367965
"44",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.04.wav",6.984375,4.59375,6.05942421259843,6.375,0.784688675828628,1.6875,0.292217253839205
"45",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.04.wav",3.5625,3.46875,3.48838141025641,3.46875,0.0258679345755388,0.046875,0.270730691056911
"46",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.04.wav",6.375,4.59375,4.95366847826087,4.78125,0.47453453158608,1.78125,0.143959970641373
"47",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.07.wav",6.796875,4.640625,5.87840695488722,6.28125,0.783861997603119,1.078125,0.304996312684366
"48",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.07.wav",3.515625,3.46875,3.47482287449393,3.46875,0.0157731876362313,0.046875,0.28459162979351
"49",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.07.wav",6.421875,4.640625,5.47706980519481,4.8515625,0.779375137648909,1.59375,0.184716076696165
"50",4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.07.wav",3.234375,3.046875,3.17483108108108,3.1875,0.058463907361588,0.09375,0.257743362831859
"51",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav",6.9375,4.546875,6.06857976653697,6.375,0.760003508443115,1.453125,0.295198271061158
"52",2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav",3.5625,3.46875,3.48781483208955,3.46875,0.0293489404556719,0.046875,0.307006201903605
"53",3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav",6.703125,4.5,5.37865691489362,4.875,0.770600894685337,2.203125,0.121299653199676
"54",4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav",3.1875,3.09375,3.14770047169811,3.140625,0.0212530717614935,0.046875,0.134181032300527
"55",1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_1.24.wav",7.03125,4.6875,6.08020437262357,6.375,0.789123222833881,1.40625,0.301520394736842
