,X,file_names,include,threshold,trim_s,trim_f
41,41,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav,Y,10,NA,NA
42,42,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_a_0.46.wav,Y,10,NA,NA
43,43,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.11.wav,Y,10,NA,NA
44,44,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.21.wav,Y,10,NA,NA
45,45,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.24.wav,Y,10,NA,NA
46,46,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.27.wav,Y,10,NA,NA
47,47,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.29.wav,Y,10,NA,NA
48,48,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.32.wav,Y,10,NA,NA
49,49,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.35.wav,Y,10,NA,NA
50,50,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.39.wav,Y,10,NA,NA
51,51,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.48.wav,Y,10,NA,NA
52,52,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.56.wav,Y,9,NA,NA
53,53,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.04.wav,Y,10,NA,NA
54,54,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.07.wav,Y,10,NA,NA
55,55,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.10.wav,Y,10,NA,NA
56,56,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.13.wav,Y,10,NA,NA
57,57,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.16.wav,Y,10,NA,NA
58,58,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.19.wav,Y,10,NA,NA
59,59,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.25.wav,Y,10,NA,NA
60,60,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.30.wav,Y,10,NA,NA
61,61,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.33.wav,Y,10,NA,NA
62,62,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.36.wav,Y,10,NA,NA
63,63,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.38.wav,Y,10,NA,NA
64,64,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.42.wav,Y,10,NA,NA
65,65,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.45.wav,Y,10,NA,NA
66,66,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.48.wav,Y,10,NA,NA
67,67,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.52.wav,Y,10,NA,NA
68,68,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.54.wav,Y,10,NA,NA
69,69,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.58.wav,Y,10,NA,NA
70,70,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.00.wav,Y,10,NA,NA
71,71,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.05.wav,Y,10,NA,NA
72,72,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.09.wav,Y,10,NA,NA
73,73,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.13.wav,Y,10,NA,NA
74,74,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.23.wav,Y,10,NA,NA
75,75,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.30.wav,Y,9,NA,NA
76,76,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.42.wav,Y,10,NA,NA
77,77,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.46.wav,Y,8,NA,NA
78,78,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.50.wav,Y,10,NA,NA
79,79,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.54.wav,Y,10,NA,NA
80,80,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.58.wav,Y,10,NA,NA
81,81,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.03.wav,Y,10,NA,NA
82,82,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.08.wav,Y,10,NA,NA
83,83,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.11.wav,Y,10,NA,NA
84,84,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.25.wav,Y,10,NA,NA
85,85,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.31.wav,Y,9,NA,NA
86,86,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.36.wav,Y,10,NA,NA
87,87,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.41.wav,Y,10,NA,NA
88,88,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.47.wav,Y,10,NA,NA
89,89,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.51.wav,Y,10,NA,NA
90,90,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.56.wav,Y,10,NA,NA
91,91,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.00.wav,Y,8,NA,NA
92,92,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.13.wav,Y,10,NA,NA
93,93,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.21.wav,Y,10,NA,NA
