,file_names,include,threshold,trim_s,trim_f
45,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.24.wav,Y,10,,
46,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.27.wav,Y,10,,
47,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.29.wav,Y,10,,
48,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.32.wav,Y,10,,
49,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.35.wav,Y,10,,
50,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.39.wav,Y,10,,
51,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.48.wav,Y,10,,
52,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_2.56.wav,Y,9,,
53,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.04.wav,Y,10,,
54,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.07.wav,Y,10,,
55,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.10.wav,Y,10,,
56,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.13.wav,Y,10,,
57,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.16.wav,Y,10,,
58,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.19.wav,Y,10,,
59,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.25.wav,Y,10,,
60,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.30.wav,Y,10,,
61,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.33.wav,Y,10,,
62,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.36.wav,Y,10,,
63,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.38.wav,Y,10,,
64,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.42.wav,Y,10,,
65,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.45.wav,Y,10,,
66,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.48.wav,Y,10,,
67,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.52.wav,Y,10,,
68,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.54.wav,Y,10,,
69,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_3.58.wav,Y,10,,
70,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.00.wav,Y,10,,
71,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.05.wav,Y,10,,
72,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.09.wav,Y,10,,
73,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.13.wav,Y,10,,
74,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.23.wav,Y,10,,
75,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.30.wav,Y,9,,
76,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.42.wav,Y,10,,
77,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.46.wav,Y,8,,
78,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.50.wav,Y,10,,
79,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.54.wav,Y,10,,
80,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_4.58.wav,Y,10,,
81,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.03.wav,Y,10,,
82,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.08.wav,Y,10,,
83,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.11.wav,Y,10,,
