"","file_name","ind_ID","number_notes","duration","max_note_dur","min_note_dur","mean_note_dur","stdev_note_dur","signal_pause_ratio","max_freq","min_freq","stdev_note_max_freq","abs_max_slope","stdev_slope"
"1000","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.25.wav","Ym.NG",4,1.33503266021995,0.360587599544937,0.129854462931361,0.274733409177095,0.103452666607035,1.39509536784741,6.375,3.140625,1.5845321667609,1.59375,0.75910006597039
"1001","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.30.wav","Ym.NG",4,1.3452145590379,0.359081177113703,0.112547831632653,0.274402332361516,0.111740169891174,0.990328820116054,6.375,3.1875,1.64547274860638,1.640625,0.80782912216941
"1002","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.34.wav","Ym.NG",4,1.34943004981884,0.343257246376812,0.0954684216485506,0.260660971467391,0.112881298223898,1.11981566820276,6.421875,3.140625,1.67240426785997,1.5,0.685187873415022
"1003","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.38.wav","Ym.NG",4,1.36770554365292,0.356139796464917,0.0965439207284413,0.267641202463846,0.117527469633993,1.14844649021864,6.375,3.140625,1.62035468845751,1.5,0.76642177927692
"1004","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.44.wav","Ym.NG",4,1.25300832899532,0.338998828735034,0.100841423737637,0.225552227030193,0.123974311839702,0.778703703703704,6.421875,3.140625,1.53158876992365,1.3125,0.6328125
"1005","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.48.wav","Ym.NG",4,1.31403164628623,0.359347429800725,0.101904495018116,0.247520655004529,0.128053406510609,1.00654307524537,6.328125,3.140625,1.4884811627545,1.546875,0.75
"1006","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.53.wav","Ym.NG",4,1.39662792119565,0.356129393115942,0.0965411005434782,0.272728609035326,0.122317930756148,1.23572296476306,6.421875,3.140625,1.67240426785997,1.3125,0.600750263342639
"1007","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_0.58.wav","Ym.NG",4,1.35693880208333,0.335748494112319,0.0954684216485508,0.26334266870471,0.114156757246214,1.14452214452214,6.375,3.140625,1.65728151840597,1.359375,0.628311539465097
"1008","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_1.13.wav","Ym.NG",3,0.891422201392609,0.342194563470809,0.0622171933583289,0.230275129441171,0.148190689664899,0.526573998364677,6.140625,3.515625,1.21995133099645,0.984375,0.496078370824611
"1009","Poecile.sp_Ym.NG_Mar192022_SparrowfootPUA.HenryCO.MO_SMP_a_1.17.wav","Ym.NG",4,1.35166710665259,0.349717045054558,0.110493422210489,0.270065233412531,0.110040741481517,1.13528748590755,6.421875,3.140625,1.66081328909965,1.265625,0.577121172420706
